scenery;sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_avg_deviation;grade_median;grade_mode;max_grade
1;3;assignment_vis_END>assignment_try_END>assignment_sub_END;253;633843;296761.52;253;253;253;1.43;0.5;1.5;1.5;2
1;3;assignment_vis_END>assignment_vis_END>assignment_sub_END;275;633843;325481.88;479;275;275;1.38;0.51;1.5;1.5;2
1;3;assignment_vis_END>forum_vis_END>assignment_sub_END;209;632247;322769.46;209;209;209;1.36;0.5;1.5;1.5;2
1;3;forum_vis_END>forum_vis_END>assignment_sub_END;188;633077;356582.88;188;188;188;1.38;0.5;1.5;1.5;2
1;3;forum_vis_END>resource_vis_END>assignment_sub_END;231;632059;317266.86;231;231;231;1.37;0.52;1.5;1.5;2
1;3;forum_vis_END>assignment_vis_END>assignment_sub_END;215;633077;364769.51;215;215;215;1.35;0.53;1.5;1.5;2
1;4;assignment_vis_END>resource_vis_END>assignment_vis_END>assignment_sub_END;204;633768;307950.32;204;204;204;1.4;0.51;1.5;1.5;2
2;2;resource_vis_START>assignment_vis_START;476;633822;351284.66;4268;476;476;1.44;0.52;1.5;1.5;2
2;2;resource_vis_START>resource_vis_START;190;633747;411010.91;190;190;190;1.42;0.54;1.5;1.5;2
2;2;resource_vis_START>assignment_vis_END;610;633907;495300.42;7168;610;610;1.42;0.5;1.5;1.5;2
2;2;resource_vis_START>assignment_try_END;523;633907;499119.95;4594;523;523;1.41;0.51;1.5;1.5;2
2;2;resource_vis_START>assignment_sub_END;633;633907;495728.79;6788;633;633;1.43;0.5;1.5;1.5;2
2;2;resource_vis_START>resource_vis_END;322;633832;512128.03;2894;322;322;1.41;0.5;1.5;1.5;2
2;2;resource_vis_START>assignment_try_START;343;633822;305196.4;2184;343;343;1.43;0.51;1.5;1.5;2
2;2;resource_vis_START>assignment_sub_START;261;633500;214358.38;978;261;261;1.41;0.52;1.5;1.5;2
2;2;resource_vis_START>forum_vis_START;201;633575;421156.31;201;201;201;1.44;0.5;1.5;1.5;2
2;2;resource_vis_START>forum_vis_END;199;632743;489258.79;782;199;199;1.43;0.51;1.5;1.5;2
2;2;assignment_vis_START>resource_vis_START;314;633832;394887.75;1183;314;314;1.4;0.52;1.5;1.5;2
2;2;assignment_vis_START>assignment_vis_END;568;633907;515408.94;8802;568;568;1.38;0.51;1.5;1.5;2
2;2;assignment_vis_START>assignment_try_END;457;633907;524217.75;4304;457;457;1.37;0.54;1.5;1.5;2
2;2;assignment_vis_START>assignment_sub_END;599;633907;515765.44;8418;599;599;1.39;0.52;1.5;1.5;2
2;2;assignment_vis_START>assignment_vis_START;378;633822;355346.71;2817;378;378;1.36;0.54;1.5;1.5;2
2;2;assignment_vis_START>assignment_try_START;544;633822;317078.72;4004;544;544;1.36;0.53;1.5;1.5;2
2;2;assignment_vis_START>assignment_sub_START;350;633500;212032.0;1383;350;350;1.35;0.55;1.5;1.5;2
2;2;assignment_vis_START>resource_vis_END;355;633832;525974.36;3830;355;355;1.39;0.5;1.5;1.5;2
2;2;assignment_vis_START>forum_vis_END;180;632823;510903.74;704;180;180;1.39;0.53;1.5;1.5;2
2;2;assignment_vis_END>assignment_try_END;1635;633852;251751.68;18704;1635;1635;1.37;0.52;1.5;1.5;2
2;2;assignment_vis_END>assignment_sub_END;1788;633927;270285.5;25798;1788;1788;1.38;0.52;1.5;1.5;2
2;2;assignment_vis_END>resource_vis_END;619;633852;269709.56;7634;619;619;1.4;0.51;1.5;1.5;2
2;2;assignment_vis_END>assignment_vis_END;948;633852;275340.81;15062;948;948;1.39;0.5;1.5;1.5;2
2;2;assignment_vis_END>forum_vis_END;241;632271;321732.56;936;241;241;1.34;0.52;1.5;1.5;2
2;2;assignment_try_END>assignment_sub_END;1700;633943;255288.0;17138;1700;1700;1.37;0.52;1.5;1.5;2
2;2;assignment_try_END>resource_vis_END;296;633852;262947.3;2128;296;296;1.37;0.51;1.5;1.5;2
2;2;assignment_try_END>assignment_vis_END;680;633927;270326.94;8410;680;680;1.38;0.51;1.5;1.5;2
2;2;assignment_try_END>assignment_try_END;189;632845;237601.82;1472;189;189;1.35;0.55;1.5;1.5;2
2;2;resource_vis_END>assignment_vis_END;1099;633852;246926.5;14906;1099;1099;1.41;0.5;1.5;1.5;2
2;2;resource_vis_END>assignment_sub_END;1167;633852;246885.48;14330;1167;1167;1.41;0.5;1.5;1.5;2
2;2;resource_vis_END>assignment_try_END;946;633843;228265.56;9566;946;946;1.42;0.51;1.5;1.5;2
2;2;resource_vis_END>resource_vis_END;256;633686;295024.42;1712;256;256;1.4;0.5;1.5;1.5;2
2;2;resource_vis_END>forum_vis_END;239;632322;304462.25;1666;239;239;1.39;0.5;1.5;1.5;2
2;2;assignment_try_START>assignment_vis_START;297;633822;354925.64;1980;297;297;1.35;0.55;1.5;1.5;2
2;2;assignment_try_START>assignment_sub_START;351;633500;211429.59;1168;351;351;1.34;0.55;1.5;1.5;2
2;2;assignment_try_START>assignment_vis_END;289;633822;520912.41;2164;289;289;1.34;0.52;1.5;1.5;2
2;2;assignment_try_START>resource_vis_END;173;633747;528476.72;688;173;173;1.33;0.49;1.5;1.5;2
2;2;assignment_try_START>assignment_sub_END;311;633822;521058.97;2770;311;311;1.35;0.51;1.5;1.5;2
2;2;forum_vis_START>assignment_vis_START;177;633865;368027.19;177;177;177;1.41;0.51;1.5;1.5;2
2;2;forum_vis_START>assignment_vis_END;242;633918;486122.15;890;242;242;1.43;0.48;1.5;1.5;2
2;2;forum_vis_START>assignment_try_END;211;633918;484108.25;828;211;211;1.44;0.5;1.5;1.5;2
2;2;forum_vis_START>assignment_sub_END;250;633918;487165.46;906;250;250;1.43;0.49;1.5;1.5;2
2;2;forum_vis_END_SOME>assignment_vis_END;226;633569;360835.47;830;226;226;1.45;0.46;1.5;1.5;2
2;2;forum_vis_END_SOME>assignment_sub_END;233;633569;357220.51;843;233;233;1.45;0.46;1.5;1.5;2
2;2;forum_vis_END_SOME>assignment_try_END;195;632738;350839.14;768;195;195;1.45;0.46;1.5;1.5;2
2;2;forum_participation_END>assignment_vis_END;176;633086;376653.03;352;176;176;1.44;0.46;1.5;1.5;2
2;2;forum_participation_END>assignment_sub_END;179;633086;375942.84;355;179;179;1.44;0.46;1.5;1.5;2
2;2;forum_vis_END>forum_vis_END;188;633086;356587.88;746;188;188;1.38;0.5;1.5;1.5;2
2;2;forum_vis_END>assignment_vis_END;446;633086;327138.12;4862;446;446;1.39;0.5;1.5;1.5;2
2;2;forum_vis_END>assignment_sub_END;463;633086;329037.84;4728;463;463;1.38;0.5;1.5;1.5;2
2;2;forum_vis_END>assignment_try_END;372;633086;314990.59;2196;372;372;1.4;0.5;1.5;1.5;2
2;2;forum_vis_END>resource_vis_END;231;632059;317271.1;902;231;231;1.37;0.52;1.5;1.5;2
2;2;assignment_vis_END_SOME>assignment_sub_END;193;633934;364951.07;193;193;193;1.32;0.55;1.5;1.5;2
2;2;resource_vis_END_SOME>assignment_vis_END;198;633018;269184.24;396;198;198;1.35;0.54;1.5;1.5;2
2;2;resource_vis_END_SOME>assignment_try_END;168;633018;251327.22;336;168;168;1.37;0.55;1.5;1.5;2
2;2;resource_vis_END_SOME>assignment_sub_END;210;633018;271561.71;576;210;210;1.36;0.53;1.5;1.5;2
2;3;resource_vis_START>assignment_vis_START>assignment_vis_END;288;633822;510181.59;970;288;288;1.41;0.53;1.5;1.5;2
2;3;resource_vis_START>assignment_vis_START>assignment_try_END;214;633822;522118.78;822;214;214;1.41;0.55;1.5;1.5;2
2;3;resource_vis_START>assignment_vis_START>assignment_sub_END;307;633822;509772.61;1358;307;307;1.42;0.52;1.5;1.5;2
2;3;resource_vis_START>assignment_vis_START>assignment_try_START;331;633822;305804.87;907;331;331;1.43;0.51;1.5;1.5;2
2;3;resource_vis_START>assignment_vis_START>assignment_vis_START;210;633822;363971.05;379;210;210;1.4;0.55;1.5;1.5;2
2;3;resource_vis_START>assignment_vis_START>assignment_sub_START;250;633500;220065.54;481;250;250;1.42;0.53;1.5;1.5;2
2;3;resource_vis_START>assignment_vis_START>resource_vis_END;176;633747;522337.34;352;176;176;1.39;0.54;1.5;1.5;2
2;3;resource_vis_START>assignment_vis_END>assignment_try_END;500;633832;497723.73;2238;500;500;1.41;0.5;1.5;1.5;2
2;3;resource_vis_START>assignment_vis_END>assignment_sub_END;610;633907;495300.42;3584;610;610;1.42;0.5;1.5;1.5;2
2;3;resource_vis_START>assignment_vis_END>resource_vis_END;179;633495;519752.87;358;179;179;1.42;0.52;1.5;1.5;2
2;3;resource_vis_START>assignment_vis_END>assignment_vis_END;301;633495;509307.77;986;301;301;1.43;0.49;1.5;1.5;2
2;3;resource_vis_START>assignment_try_END>assignment_sub_END;523;633907;499119.95;2297;523;523;1.41;0.51;1.5;1.5;2
2;3;resource_vis_START>assignment_try_END>assignment_vis_END;202;633398;511175.32;788;202;202;1.41;0.48;1.5;1.5;2
2;3;resource_vis_START>resource_vis_END>assignment_vis_END;301;633832;513497.62;1062;301;301;1.42;0.5;1.5;1.5;2
2;3;resource_vis_START>resource_vis_END>assignment_sub_END;322;633832;512128.03;1447;322;322;1.41;0.5;1.5;1.5;2
2;3;resource_vis_START>resource_vis_END>assignment_try_END;239;633832;514389.64;938;239;239;1.41;0.52;1.5;1.5;2
