id,userid,t,component,action,target,objectid,objecttable,courseid,relateduserid,extra_info,crud,assignment_id
168677319,239,1575413576,core,viewed,course,,,2060,,N;,r,
168393112,275,1575295709,core,viewed,course,,,2060,,N;,r,
165438519,438,1573765502,core,viewed,course,,,2060,,N;,r,
169176153,739,1575646210,core,viewed,course,,,2060,,N;,r,
165740200,1479,1573955158,core,viewed,course,,,2060,,N;,r,
167628415,1694,1574825469,core,viewed,course,,,2060,,N;,r,
167551929,1816,1574808226,core,viewed,course,,,2060,,N;,r,
169410643,1989,1575895587,core,viewed,course,,,2060,,N;,r,
166961469,3055,1574467144,core,viewed,course,,,2060,,N;,r,
167273421,3129,1574710302,core,viewed,course,,,2060,,N;,r,
166257279,3198,1574204158,core,viewed,course,,,2060,,N;,r,
167669616,3236,1574864322,core,viewed,course,,,2060,,N;,r,
166237594,3293,1574200640,core,viewed,course,,,2060,,N;,r,
166664358,3314,1574346597,core,viewed,course,,,2060,,N;,r,
166302200,3317,1574210764,core,viewed,course,,,2060,,N;,r,
166366786,3363,1574247564,core,viewed,course,,,2060,,N;,r,
169785908,3433,1576033361,core,viewed,course,,,2060,,N;,r,
164945622,3491,1573604717,core,viewed,course,,,2060,,N;,r,
166922353,3597,1574455177,core,viewed,course,,,2060,,N;,r,
168685155,3762,1575415001,core,viewed,course,,,2060,,N;,r,
169747540,3917,1576024174,core,viewed,course,,,2060,,N;,r,
168544919,3964,1575369581,core,viewed,course,,,2060,,N;,r,
169780175,5323,1576031940,core,viewed,course,,,2060,,N;,r,
166325272,5444,1574215928,core,viewed,course,,,2060,,N;,r,
168618236,5727,1575398707,core,viewed,course,,,2060,,N;,r,
168701511,5748,1575418620,core,viewed,course,,,2060,,N;,r,
166571588,6434,1574295884,core,viewed,course,,,2060,,N;,r,
166314765,6564,1574213405,core,viewed,course,,,2060,,N;,r,
167615474,7159,1574820529,core,viewed,course,,,2060,,N;,r,
169427537,7184,1575901278,core,viewed,course,,,2060,,N;,r,
168731843,7204,1575424730,core,viewed,course,,,2060,,N;,r,
169186205,7329,1575652075,core,viewed,course,,,2060,,N;,r,
166116016,7574,1574169271,core,viewed,course,,,2060,,N;,r,
167447570,7774,1574780576,core,viewed,course,,,2060,,N;,r,
169593351,7991,1575980135,core,viewed,course,,,2060,,N;,r,
167389744,8102,1574742939,core,viewed,course,,,2060,,N;,r,
165698618,8196,1573918209,core,viewed,course,,,2060,,N;,r,
