id,userid,t,component,action,target,objectid,objecttable,courseid,relateduserid,extra_info,crud,assignment_id
166085859,120993,1574158547,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166085868,120993,1574158552,mod_quiz,started,attempt,2378231.0,quiz_attempts,2060,120993.0,N;,c,12842.0
166085889,89724,1574158571,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166085899,89724,1574158576,mod_quiz,started,attempt,2378232.0,quiz_attempts,2060,89724.0,N;,c,12842.0
166086004,78449,1574158651,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166086008,78449,1574158656,mod_quiz,started,attempt,2378236.0,quiz_attempts,2060,78449.0,N;,c,12842.0
166086279,93832,1574158842,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166086328,93832,1574158882,mod_quiz,started,attempt,2378239.0,quiz_attempts,2060,93832.0,N;,c,12842.0
166086378,88419,1574158929,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166086504,138214,1574159042,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166086509,138214,1574159050,mod_quiz,started,attempt,2378242.0,quiz_attempts,2060,138214.0,N;,c,12842.0
166087252,121652,1574159663,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166087254,121652,1574159666,mod_quiz,started,attempt,2378246.0,quiz_attempts,2060,121652.0,N;,c,12842.0
166087301,79877,1574159699,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166087325,89724,1574159710,mod_quiz,submitted,attempt,2378232.0,quiz_attempts,2060,89724.0,"a:2:{s:11:""submitterid"";s:5:""89724"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166087342,89724,1574159720,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166088302,132638,1574160439,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166088330,49938,1574160460,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166088345,132638,1574160466,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166088351,49938,1574160469,mod_quiz,started,attempt,2378257.0,quiz_attempts,2060,49938.0,N;,c,12842.0
166088354,132638,1574160470,mod_quiz,started,attempt,2378258.0,quiz_attempts,2060,132638.0,N;,c,12842.0
166088512,138214,1574160577,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166088550,137801,1574160601,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166090251,139282,1574160784,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166090265,139282,1574160789,mod_quiz,started,attempt,2378265.0,quiz_attempts,2060,139282.0,N;,c,12842.0
166090575,137591,1574160935,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166090906,137150,1574161145,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166091637,57481,1574161471,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166091746,57481,1574161526,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166091749,57481,1574161526,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166091945,92173,1574161619,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166091956,92173,1574161624,mod_quiz,started,attempt,2378288.0,quiz_attempts,2060,92173.0,N;,c,12842.0
166092185,138471,1574161723,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166092813,132638,1574162062,mod_quiz,submitted,attempt,2378258.0,quiz_attempts,2060,132638.0,"a:2:{s:11:""submitterid"";s:6:""132638"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166092855,132638,1574162082,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166093014,49938,1574162139,mod_quiz,submitted,attempt,2378257.0,quiz_attempts,2060,49938.0,"a:2:{s:11:""submitterid"";s:5:""49938"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166093029,49938,1574162147,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166093644,121425,1574162382,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166093654,121425,1574162386,mod_quiz,started,attempt,2378303.0,quiz_attempts,2060,121425.0,N;,c,12842.0
166093769,92173,1574162450,mod_quiz,submitted,attempt,2378288.0,quiz_attempts,2060,92173.0,"a:2:{s:11:""submitterid"";s:5:""92173"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166094269,91254,1574162644,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166094272,91254,1574162645,mod_quiz,started,attempt,2378310.0,quiz_attempts,2060,91254.0,N;,c,12842.0
166094653,121216,1574162768,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166094777,121425,1574162817,mod_quiz,submitted,attempt,2378303.0,quiz_attempts,2060,121425.0,"a:2:{s:11:""submitterid"";s:6:""121425"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166094807,121425,1574162828,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166095105,6434,1574162918,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166095687,6434,1574163102,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166095939,6434,1574163162,mod_quiz,started,attempt,2378326.0,quiz_attempts,2060,6434.0,N;,c,12842.0
166095982,30224,1574163170,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166096022,30224,1574163173,mod_quiz,started,attempt,2378327.0,quiz_attempts,2060,30224.0,N;,c,12842.0
166096507,137842,1574163338,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166096519,137842,1574163343,mod_quiz,started,attempt,2378337.0,quiz_attempts,2060,137842.0,N;,c,12842.0
166096808,138525,1574163458,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166097037,137906,1574163533,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166097051,137906,1574163538,mod_quiz,started,attempt,2378344.0,quiz_attempts,2060,137906.0,N;,c,12842.0
166097161,55855,1574163559,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166097520,138868,1574163688,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166097539,138868,1574163694,mod_quiz,started,attempt,2378349.0,quiz_attempts,2060,138868.0,N;,c,12842.0
166097618,55855,1574163722,mod_quiz,started,attempt,2378351.0,quiz_attempts,2060,55855.0,N;,c,12842.0
166097876,138214,1574163785,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166097979,87629,1574163815,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166097984,87629,1574163818,mod_quiz,started,attempt,2378352.0,quiz_attempts,2060,87629.0,N;,c,12842.0
166098012,137875,1574163827,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166098136,137887,1574163868,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166098142,137887,1574163870,mod_quiz,started,attempt,2378356.0,quiz_attempts,2060,137887.0,N;,c,12842.0
166098247,15620,1574163897,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166098611,121588,1574163992,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166098624,121588,1574163997,mod_quiz,started,attempt,2378362.0,quiz_attempts,2060,121588.0,N;,c,12842.0
166099301,87629,1574164275,mod_quiz,submitted,attempt,2378352.0,quiz_attempts,2060,87629.0,"a:2:{s:11:""submitterid"";s:5:""87629"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166099311,91254,1574164276,mod_quiz,submitted,attempt,2378310.0,quiz_attempts,2060,91254.0,"a:2:{s:11:""submitterid"";s:5:""91254"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166099315,92173,1574164277,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166099319,87629,1574164279,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166099341,91254,1574164286,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166099353,121272,1574164291,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166099383,30224,1574164298,mod_quiz,submitted,attempt,2378327.0,quiz_attempts,2060,30224.0,"a:2:{s:11:""submitterid"";s:5:""30224"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166099418,30224,1574164309,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166099420,92173,1574164310,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166099770,121093,1574164425,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166099881,138525,1574164462,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166099917,50421,1574164474,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166099922,50421,1574164477,mod_quiz,started,attempt,2378380.0,quiz_attempts,2060,50421.0,N;,c,12842.0
166100015,132559,1574164499,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166100044,121093,1574164508,mod_quiz,started,attempt,2378384.0,quiz_attempts,2060,121093.0,N;,c,12842.0
166100077,132559,1574164518,mod_quiz,started,attempt,2378385.0,quiz_attempts,2060,132559.0,N;,c,12842.0
166101048,137154,1574164845,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166101067,137154,1574164851,mod_quiz,started,attempt,2378396.0,quiz_attempts,2060,137154.0,N;,c,12842.0
166101334,121189,1574164917,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166101373,121189,1574164929,mod_quiz,started,attempt,2378398.0,quiz_attempts,2060,121189.0,N;,c,12842.0
166101427,137284,1574164945,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166101464,87629,1574164958,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166101514,121588,1574164974,mod_quiz,submitted,attempt,2378362.0,quiz_attempts,2060,121588.0,"a:2:{s:11:""submitterid"";s:6:""121588"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166101544,121588,1574164984,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166101680,87553,1574165025,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166102058,50421,1574165153,mod_quiz,submitted,attempt,2378380.0,quiz_attempts,2060,50421.0,"a:2:{s:11:""submitterid"";s:5:""50421"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166102076,50421,1574165157,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166102207,55855,1574165196,mod_quiz,submitted,attempt,2378351.0,quiz_attempts,2060,55855.0,"a:2:{s:11:""submitterid"";s:5:""55855"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166102323,88879,1574165226,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166102345,88879,1574165236,mod_quiz,started,attempt,2378409.0,quiz_attempts,2060,88879.0,N;,c,12842.0
166103014,88880,1574165461,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166103242,88880,1574165538,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166103256,88880,1574165541,mod_quiz,started,attempt,2378423.0,quiz_attempts,2060,88880.0,N;,c,12842.0
166103421,121972,1574165613,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166103514,132559,1574165638,mod_quiz,submitted,attempt,2378385.0,quiz_attempts,2060,132559.0,"a:2:{s:11:""submitterid"";s:6:""132559"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166103534,132559,1574165645,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166103596,91798,1574165668,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166103620,91798,1574165681,mod_quiz,started,attempt,2378428.0,quiz_attempts,2060,91798.0,N;,c,12842.0
166103857,33002,1574165730,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166103870,33002,1574165732,mod_quiz,started,attempt,2378433.0,quiz_attempts,2060,33002.0,N;,c,12842.0
166103967,121652,1574165761,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166104024,88879,1574165771,mod_quiz,submitted,attempt,2378409.0,quiz_attempts,2060,88879.0,"a:2:{s:11:""submitterid"";s:5:""88879"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166104039,88879,1574165776,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166104147,121652,1574165811,mod_quiz,submitted,attempt,2378246.0,quiz_attempts,2060,121652.0,"a:2:{s:11:""submitterid"";s:6:""121652"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166104202,121652,1574165826,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166104318,9875,1574165854,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166104336,9875,1574165861,mod_quiz,started,attempt,2378444.0,quiz_attempts,2060,9875.0,N;,c,12842.0
166104645,739,1574165960,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166104717,8196,1574165983,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166104735,8196,1574165986,mod_quiz,started,attempt,2378452.0,quiz_attempts,2060,8196.0,N;,c,12842.0
166104758,87488,1574165994,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166104766,739,1574165995,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166104785,739,1574166001,mod_quiz,started,attempt,2378453.0,quiz_attempts,2060,739.0,N;,c,12842.0
166104800,87488,1574166008,mod_quiz,started,attempt,2378454.0,quiz_attempts,2060,87488.0,N;,c,12842.0
166104857,92221,1574166032,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166104870,92221,1574166036,mod_quiz,started,attempt,2378457.0,quiz_attempts,2060,92221.0,N;,c,12842.0
166105138,137066,1574166121,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166105153,137066,1574166127,mod_quiz,started,attempt,2378465.0,quiz_attempts,2060,137066.0,N;,c,12842.0
166105459,122641,1574166198,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166105467,122641,1574166201,mod_quiz,started,attempt,2378469.0,quiz_attempts,2060,122641.0,N;,c,12842.0
166105615,137592,1574166253,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166105851,137052,1574166325,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166105928,137052,1574166344,mod_quiz,started,attempt,2378480.0,quiz_attempts,2060,137052.0,N;,c,12842.0
166106180,91798,1574166438,mod_quiz,submitted,attempt,2378428.0,quiz_attempts,2060,91798.0,"a:2:{s:11:""submitterid"";s:5:""91798"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166106202,54844,1574166448,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166106204,54844,1574166451,mod_quiz,started,attempt,2378492.0,quiz_attempts,2060,54844.0,N;,c,12842.0
166106328,121093,1574166494,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166106335,121849,1574166496,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166106377,121093,1574166511,mod_quiz,submitted,attempt,2378384.0,quiz_attempts,2060,121093.0,"a:2:{s:11:""submitterid"";s:6:""121093"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166106384,121093,1574166515,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166106691,33002,1574166603,mod_quiz,submitted,attempt,2378433.0,quiz_attempts,2060,33002.0,"a:2:{s:11:""submitterid"";s:5:""33002"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166106698,33002,1574166606,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166106725,33002,1574166617,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166106779,33002,1574166630,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166106866,9875,1574166656,mod_quiz,submitted,attempt,2378444.0,quiz_attempts,2060,9875.0,"a:2:{s:11:""submitterid"";s:4:""9875"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166106881,9875,1574166661,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166106882,15620,1574166661,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166106886,15620,1574166663,mod_quiz,started,attempt,2378500.0,quiz_attempts,2060,15620.0,N;,c,12842.0
166107184,15844,1574166750,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
