sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
3;resource_vis_START>assignment_try_START>assignment_vis_END;199;633822;518464.9849246231;790;199;199;1.38 (+- 0.51);1.5;1.5;2
3;resource_vis_START>assignment_try_START>assignment_sub_END;200;633822;517639.705;792;200;200;1.38 (+- 0.51);1.5;1.5;2
3;resource_vis_START>forum_vis_START>assignment_vis_END;257;633575;485010.4591439689;1294;257;257;1.44 (+- 0.49);1.5;1.5;2
3;resource_vis_START>forum_vis_START>assignment_try_END;217;633570;483906.26267281105;868;217;217;1.44 (+- 0.50);1.5;1.5;2
3;resource_vis_START>forum_vis_START>forum_vis_END;174;632743;490856.8103448276;694;174;174;1.44 (+- 0.51);1.5;1.5;2
3;resource_vis_START>forum_vis_START>assignment_sub_END;257;633575;485010.4591439689;1295;257;257;1.44 (+- 0.49);1.5;1.5;2
3;resource_vis_START>forum_vis_END>forum_vis_END;171;632738;503892.0409356725;684;171;171;1.46 (+- 0.50);1.5;1.5;2
3;resource_vis_START>forum_vis_END>assignment_vis_END;289;632743;495761.1626297578;1716;289;289;1.44 (+- 0.50);1.5;1.5;2
3;resource_vis_START>forum_vis_END>assignment_sub_END;291;632743;494571.793814433;1719;291;291;1.43 (+- 0.51);1.5;1.5;2
3;resource_vis_START>forum_vis_END>assignment_try_END;225;632738;497578.9511111111;900;225;225;1.45 (+- 0.50);1.5;1.5;2
3;assignment_vis_START>resource_vis_START>assignment_vis_END;278;633832;506527.726618705;958;278;278;1.40 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>resource_vis_START>assignment_try_END;201;633832;517919.9253731343;804;201;201;1.37 (+- 0.56);1.5;1.5;2
3;assignment_vis_START>resource_vis_START>assignment_sub_END;279;633832;505978.91397849465;959;279;279;1.39 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>resource_vis_START>assignment_vis_START;233;633747;364941.17596566526;233;233;233;1.38 (+- 0.54);1.5;1.5;2
3;assignment_vis_START>assignment_vis_END>assignment_try_END;481;633907;524443.1018711019;3588;481;481;1.37 (+- 0.54);1.5;1.5;2
3;assignment_vis_START>assignment_vis_END>assignment_sub_END;625;633907;516143.2848;6893;625;625;1.39 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>assignment_vis_END>resource_vis_END;280;633580;532584.9535714285;1090;280;280;1.41 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>assignment_vis_END>assignment_vis_END;371;633822;527935.4663072777;3226;371;371;1.39 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>assignment_try_END>assignment_sub_END;481;633907;524443.1018711019;3391;481;481;1.37 (+- 0.54);1.5;1.5;2
3;assignment_vis_START>assignment_try_END>assignment_vis_END;219;633789;530581.7762557077;876;219;219;1.38 (+- 0.50);1.5;1.5;2
3;assignment_vis_START>assignment_vis_START>assignment_try_START;194;633822;340184.1597938144;194;194;194;1.36 (+- 0.54);1.5;1.5;2
3;assignment_vis_START>assignment_vis_START>assignment_sub_START;207;633500;216232.77777777778;374;207;207;1.33 (+- 0.56);1.5;1.5;2
3;assignment_vis_START>assignment_vis_START>assignment_vis_END;252;633822;525962.8015873015;1228;252;252;1.36 (+- 0.54);1.5;1.5;2
3;assignment_vis_START>assignment_vis_START>assignment_try_END;169;633822;541027.4260355029;676;169;169;1.33 (+- 0.56);1.5;1.5;2
3;assignment_vis_START>assignment_vis_START>assignment_sub_END;253;633822;525280.7707509882;1229;253;253;1.36 (+- 0.54);1.5;1.5;2
3;assignment_vis_START>assignment_try_START>assignment_vis_START;307;633822;356431.8436482085;1253;307;307;1.35 (+- 0.54);1.5;1.5;2
3;assignment_vis_START>assignment_try_START>assignment_sub_START;351;633500;211429.59259259258;786;351;351;1.34 (+- 0.55);1.5;1.5;2
3;assignment_vis_START>assignment_try_START>assignment_vis_END;310;633822;521599.7774193548;2110;310;310;1.35 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>assignment_try_START>resource_vis_END;192;633747;531430.5416666666;748;192;192;1.31 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>assignment_try_START>assignment_sub_END;311;633822;521058.97106109327;1948;311;311;1.35 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>resource_vis_END>assignment_vis_END;393;633832;529619.7709923664;2998;393;393;1.38 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>resource_vis_END>assignment_try_END;277;633832;532298.2310469314;1104;277;277;1.39 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>resource_vis_END>assignment_sub_END;408;633832;527634.5759803922;2875;408;408;1.38 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>forum_vis_END>assignment_vis_END;223;633463;512043.94170403585;446;223;223;1.41 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>forum_vis_END>assignment_sub_END;225;633463;510360.9555555555;448;225;225;1.41 (+- 0.53);1.5;1.5;2
3;assignment_vis_END>assignment_try_END>assignment_sub_END;1700;633943;255287.99647058823;13317;1700;1700;1.37 (+- 0.52);1.5;1.5;2
3;assignment_vis_END>assignment_try_END>resource_vis_END;323;633852;265765.7151702786;1206;323;323;1.36 (+- 0.53);1.5;1.5;2
3;assignment_vis_END>assignment_try_END>assignment_vis_END;712;633927;270188.17837078654;6008;712;712;1.38 (+- 0.51);1.5;1.5;2
3;assignment_vis_END>assignment_try_END>assignment_try_END;189;632845;237601.8201058201;756;189;189;1.35 (+- 0.55);1.5;1.5;2
3;assignment_vis_END>resource_vis_END>assignment_vis_END;665;633852;279169.52330827067;6196;665;665;1.40 (+- 0.50);1.5;1.5;2
3;assignment_vis_END>resource_vis_END>assignment_sub_END;711;633852;273210.85794655414;6098;711;711;1.40 (+- 0.51);1.5;1.5;2
3;assignment_vis_END>resource_vis_END>assignment_try_END;451;633768;255186.9356984479;2490;451;451;1.42 (+- 0.51);1.5;1.5;2
3;assignment_vis_END>resource_vis_END>resource_vis_END;176;633768;323737.0227272727;352;176;176;1.36 (+- 0.52);1.5;1.5;2
3;assignment_vis_END>resource_vis_END>forum_vis_END;179;632929;332478.56424581003;708;179;179;1.38 (+- 0.49);1.5;1.5;2
3;assignment_vis_END>assignment_vis_END>assignment_sub_END;1024;633927;282378.3857421875;11643;1024;1024;1.38 (+- 0.51);1.5;1.5;2
