sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_avg_deviation;grade_median;grade_mode;max_grade
3;assignment_try_END>resource_vis_END>assignment_sub_END;286;633852;264810.37412587414;286;286;286;1.3723776223776223;0.5184043778810677;1.5;1.5;2
3;assignment_try_END>assignment_vis_END>assignment_sub_END;239;633918;294202.18828451884;239;239;239;1.3619246861924685;0.5183340907157423;1.5;1.5;2
3;resource_vis_END>assignment_try_END>assignment_sub_END;343;633843;247519.0;343;343;343;1.4227405247813412;0.4917525167590961;1.5;1.5;2
3;resource_vis_END>resource_vis_END>assignment_sub_END;256;633686;295012.34765625;256;256;256;1.400390625;0.49984295940687956;1.5;1.5;2
3;resource_vis_END>assignment_vis_END>assignment_sub_END;435;633843;286341.7747126437;639;435;435;1.3850574712643677;0.5186673671085045;1.5;1.5;2
3;resource_vis_END>forum_vis_END>assignment_sub_END;239;632322;304449.48953974893;239;239;239;1.393305439330544;0.5043061990986042;1.5;1.5;2
3;assignment_vis_END>resource_vis_END>assignment_sub_END;495;633768;284919.8262626263;699;495;495;1.412121212121212;0.49782375124352146;1.5;1.5;2
3;assignment_vis_END>resource_vis_END>assignment_vis_END;204;633768;307950.32352941175;408;204;204;1.3995098039215685;0.5094667886824467;1.5;1.5;2
3;assignment_vis_END>assignment_try_END>assignment_sub_END;253;633843;296761.52173913043;253;253;253;1.4308300395256917;0.49816936979184895;1.5;1.5;2
3;assignment_vis_END>assignment_vis_END>assignment_sub_END;275;633843;325481.8836363636;479;275;275;1.3836363636363636;0.5118178694805168;1.5;1.5;2
3;assignment_vis_END>forum_vis_END>assignment_sub_END;209;632247;322769.4593301435;209;209;209;1.3564593301435406;0.49610880041340333;1.5;1.5;2
3;forum_vis_END>forum_vis_END>assignment_sub_END;188;633077;356582.8829787234;188;188;188;1.377659574468085;0.504981443047443;1.5;1.5;2
3;forum_vis_END>resource_vis_END>assignment_sub_END;231;632059;317266.8614718615;231;231;231;1.3744588744588744;0.524857360992768;1.5;1.5;2
3;forum_vis_END>assignment_vis_END>assignment_sub_END;215;633077;364769.511627907;215;215;215;1.3465116279069766;0.5270038913515478;1.5;1.5;2
4;assignment_vis_END>resource_vis_END>assignment_vis_END>assignment_sub_END;204;633768;307950.32352941175;204;204;204;1.3995098039215685;0.5094667886824467;1.5;1.5;2
