sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
3;resource_vis>assignment_try>assignment_vis;780;633918;319441.3730769231;14508;780;780;1.40 (+- 0.50);1.5;1.5;2
3;resource_vis>assignment_try>assignment_try;263;633822;377526.3269961977;3476;263;263;1.37 (+- 0.53);1.5;1.5;2
3;resource_vis>assignment_try>forum_vis;178;633575;422778.893258427;1402;178;178;1.35 (+- 0.54);1.5;1.5;2
3;resource_vis>assignment_sub>assignment_vis;211;633747;359893.78199052135;3044;211;211;1.34 (+- 0.53);1.5;1.5;2
3;resource_vis>assignment_sub>assignment_try;198;633747;358255.6767676768;2940;198;198;1.35 (+- 0.54);1.5;1.5;2
3;resource_vis>assignment_sub>assignment_sub;211;633747;359893.78199052135;3044;211;211;1.34 (+- 0.53);1.5;1.5;2
3;resource_vis>forum_vis>resource_vis;386;632929;372868.0829015544;8878;386;386;1.44 (+- 0.49);1.5;1.5;2
3;resource_vis>forum_vis>assignment_vis;614;633918;355828.4104234528;22874;614;614;1.43 (+- 0.49);1.5;1.5;2
3;resource_vis>forum_vis>assignment_try;527;633918;354665.6110056926;12914;527;527;1.44 (+- 0.48);1.5;1.5;2
3;resource_vis>forum_vis>forum_vis;345;632823;386550.0463768116;10520;345;345;1.44 (+- 0.49);1.5;1.5;2
3;resource_vis>forum_vis>forum_participation;200;633086;385508.41;2960;200;200;1.47 (+- 0.46);1.5;1.5;2
3;resource_vis>forum_vis>assignment_sub;619;633918;353484.1873990307;20166;619;619;1.43 (+- 0.49);1.5;1.5;2
3;resource_vis>forum_participation>forum_vis;188;632823;381652.75;2872;188;188;1.46 (+- 0.46);1.5;1.5;2
3;resource_vis>forum_participation>assignment_vis;200;633086;385508.41;2960;200;200;1.47 (+- 0.46);1.5;1.5;2
3;resource_vis>forum_participation>assignment_sub;200;633086;385508.41;2960;200;200;1.47 (+- 0.46);1.5;1.5;2
3;resource_vis>forum_participation>assignment_try;181;633086;388323.1215469613;2816;181;181;1.47 (+- 0.46);1.5;1.5;2
3;assignment_vis>resource_vis>assignment_vis;998;633852;318268.12124248495;25706;998;998;1.40 (+- 0.51);1.5;1.5;2
3;assignment_vis>resource_vis>assignment_try;761;633832;323075.20105124835;11232;761;761;1.40 (+- 0.52);1.5;1.5;2
3;assignment_vis>resource_vis>assignment_sub;1048;633852;308485.929389313;22841;1048;1048;1.39 (+- 0.51);1.5;1.5;2
3;assignment_vis>resource_vis>resource_vis;357;633768;392080.3781512605;5612;357;357;1.36 (+- 0.53);1.5;1.5;2
3;assignment_vis>resource_vis>forum_vis;328;633309;376845.35365853657;4936;328;328;1.41 (+- 0.51);1.5;1.5;2
3;assignment_vis>assignment_vis>assignment_try;933;633907;323025.80707395496;20062;933;933;1.37 (+- 0.53);1.5;1.5;2
3;assignment_vis>assignment_vis>assignment_sub;1392;633927;295281.8505747126;38176;1392;1392;1.38 (+- 0.51);1.5;1.5;2
3;assignment_vis>assignment_vis>assignment_vis;678;633843;358930.2699115044;21478;678;678;1.39 (+- 0.50);1.5;1.5;2
3;assignment_vis>assignment_vis>resource_vis;453;633768;398875.4194260486;9604;453;453;1.33 (+- 0.51);1.5;1.5;2
3;assignment_vis>assignment_vis>forum_vis;263;633761;408937.10266159696;3286;263;263;1.38 (+- 0.51);1.5;1.5;2
3;assignment_vis>assignment_try>assignment_sub;2085;633943;248385.67913669065;36878;2085;2085;1.38 (+- 0.52);1.5;1.5;2
3;assignment_vis>assignment_try>resource_vis;556;633852;337881.2823741007;7714;556;556;1.35 (+- 0.52);1.5;1.5;2
3;assignment_vis>assignment_try>assignment_vis;1055;633927;299446.92037914693;22180;1055;1055;1.37 (+- 0.52);1.5;1.5;2
3;assignment_vis>assignment_try>assignment_try;405;633822;359173.7012345679;6324;405;405;1.32 (+- 0.55);1.5;1.5;2
3;assignment_vis>assignment_try>forum_vis;248;633761;396376.30241935485;2426;248;248;1.34 (+- 0.52);1.5;1.5;2
3;assignment_vis>assignment_sub>assignment_vis;262;633747;344281.14122137404;3536;262;262;1.30 (+- 0.54);1.5;1.5;2
3;assignment_vis>assignment_sub>assignment_try;248;633747;341687.8306451613;3428;248;248;1.30 (+- 0.55);1.5;1.5;2
3;assignment_vis>assignment_sub>assignment_sub;262;633747;344281.14122137404;3536;262;262;1.30 (+- 0.54);1.5;1.5;2
3;assignment_vis>forum_vis>forum_vis;249;632823;405089.0522088353;2444;249;249;1.39 (+- 0.51);1.5;1.5;2
3;assignment_vis>forum_vis>assignment_vis;469;633761;370907.53731343284;13656;469;469;1.38 (+- 0.51);1.5;1.5;2
3;assignment_vis>forum_vis>assignment_sub;475;633761;366914.4168421053;12577;475;475;1.38 (+- 0.51);1.5;1.5;2
3;assignment_vis>forum_vis>resource_vis;291;633569;392426.3883161512;3846;291;291;1.37 (+- 0.52);1.5;1.5;2
3;assignment_vis>forum_vis>assignment_try;359;633655;375976.51532033423;6214;359;359;1.38 (+- 0.51);1.5;1.5;2
3;assignment_try>assignment_sub>assignment_vis;262;633747;344281.14122137404;3484;262;262;1.30 (+- 0.54);1.5;1.5;2
3;assignment_try>assignment_sub>assignment_try;248;633747;341687.8306451613;3376;248;248;1.30 (+- 0.55);1.5;1.5;2
3;assignment_try>assignment_sub>assignment_sub;262;633747;344281.14122137404;3484;262;262;1.30 (+- 0.54);1.5;1.5;2
3;assignment_try>resource_vis>assignment_vis;508;633852;355458.1535433071;7142;508;508;1.35 (+- 0.52);1.5;1.5;2
3;assignment_try>resource_vis>assignment_sub;556;633852;337881.2823741007;7314;556;556;1.35 (+- 0.52);1.5;1.5;2
3;assignment_try>resource_vis>assignment_try;199;633747;444307.8743718593;1584;199;199;1.31 (+- 0.57);1.5;1.5;2
3;assignment_try>resource_vis>resource_vis;177;633768;433171.2824858757;708;177;177;1.33 (+- 0.54);1.5;1.5;2
3;assignment_try>assignment_vis>assignment_sub;1055;633927;299446.92037914693;19682;1055;1055;1.37 (+- 0.52);1.5;1.5;2
3;assignment_try>assignment_vis>assignment_try;405;633822;359173.7012345679;6714;405;405;1.32 (+- 0.55);1.5;1.5;2
3;assignment_try>assignment_vis>assignment_vis;408;633843;386341.75;8948;408;408;1.36 (+- 0.50);1.5;1.5;2
3;assignment_try>assignment_vis>resource_vis;313;633768;416311.53674121405;3924;313;313;1.33 (+- 0.50);1.5;1.5;2
3;assignment_try>assignment_vis>forum_vis;186;633761;422861.6182795699;1488;186;186;1.33 (+- 0.52);1.5;1.5;2
3;assignment_try>assignment_try>assignment_vis;206;633822;417965.97572815535;1648;206;206;1.35 (+- 0.54);1.5;1.5;2
3;assignment_try>assignment_try>assignment_sub;405;633822;359173.7012345679;6342;405;405;1.32 (+- 0.55);1.5;1.5;2
3;assignment_try>forum_vis>assignment_vis;243;633761;401809.83950617287;2408;243;243;1.35 (+- 0.52);1.5;1.5;2
3;assignment_try>forum_vis>assignment_sub;248;633761;396376.30241935485;2427;248;248;1.34 (+- 0.52);1.5;1.5;2
3;assignment_sub>assignment_vis>assignment_try;248;633747;341687.8306451613;3454;248;248;1.30 (+- 0.55);1.5;1.5;2
3;assignment_sub>assignment_vis>assignment_sub;262;633747;344281.14122137404;3562;262;262;1.30 (+- 0.54);1.5;1.5;2
3;assignment_sub>assignment_try>assignment_sub;248;633747;341687.8306451613;3454;248;248;1.30 (+- 0.55);1.5;1.5;2
3;forum_vis>resource_vis>assignment_vis;506;633726;349103.442687747;13266;506;506;1.43 (+- 0.50);1.5;1.5;2
3;forum_vis>resource_vis>assignment_try;427;633093;350968.981264637;7620;427;427;1.43 (+- 0.50);1.5;1.5;2
3;forum_vis>resource_vis>resource_vis;227;632823;410290.3920704846;2646;227;227;1.44 (+- 0.51);1.5;1.5;2
3;forum_vis>resource_vis>forum_vis;290;633086;387643.7586206897;5436;290;290;1.46 (+- 0.48);1.5;1.5;2
3;forum_vis>resource_vis>assignment_sub;517;633726;345983.28239845263;12295;517;517;1.42 (+- 0.50);1.5;1.5;2
3;forum_vis>assignment_vis>assignment_try;662;633918;332125.91842900304;16304;662;662;1.42 (+- 0.49);1.5;1.5;2
3;forum_vis>assignment_vis>resource_vis;279;632823;378908.74551971327;3674;279;279;1.39 (+- 0.52);1.5;1.5;2
3;forum_vis>assignment_vis>assignment_vis;430;633918;371274.14883720933;11336;430;430;1.40 (+- 0.49);1.5;1.5;2
3;forum_vis>assignment_vis>forum_vis;251;633536;404192.764940239;2528;251;251;1.41 (+- 0.49);1.5;1.5;2
3;forum_vis>assignment_vis>assignment_sub;744;633918;333458.5147849462;25661;744;744;1.41 (+- 0.49);1.5;1.5;2
3;forum_vis>assignment_try>assignment_vis;306;633918;365963.90196078434;3640;306;306;1.41 (+- 0.48);1.5;1.5;2
3;forum_vis>assignment_try>assignment_sub;665;633918;330637.6195488722;15188;665;665;1.42 (+- 0.49);1.5;1.5;2
3;forum_vis>forum_vis>forum_participation;183;633732;363051.47540983604;1424;183;183;1.45 (+- 0.46);1.5;1.5;2
3;forum_vis>forum_vis>forum_vis;276;633389;375411.7463768116;5820;276;276;1.43 (+- 0.48);1.5;1.5;2
3;forum_vis>forum_vis>assignment_vis;418;633732;364526.2200956938;14724;418;418;1.43 (+- 0.48);1.5;1.5;2
3;forum_vis>forum_vis>assignment_sub;422;633732;363138.5876777251;14149;422;422;1.43 (+- 0.48);1.5;1.5;2
3;forum_vis>forum_vis>resource_vis;251;632823;383503.6573705179;3218;251;251;1.43 (+- 0.50);1.5;1.5;2
3;forum_vis>forum_vis>assignment_try;353;633732;365400.54674220964;9554;353;353;1.45 (+- 0.47);1.5;1.5;2
3;forum_vis>forum_participation>forum_vis;214;633469;356819.9953271028;3764;214;214;1.45 (+- 0.46);1.5;1.5;2
3;forum_vis>forum_participation>assignment_vis;227;633732;359963.99559471366;3876;227;227;1.46 (+- 0.45);1.5;1.5;2
3;forum_vis>forum_participation>assignment_sub;227;633732;359963.99559471366;3876;227;227;1.46 (+- 0.45);1.5;1.5;2
3;forum_vis>forum_participation>assignment_try;206;633732;363505.1941747573;3012;206;206;1.46 (+- 0.46);1.5;1.5;2
3;forum_participation>forum_vis>assignment_vis;214;633469;356819.9953271028;3418;214;214;1.45 (+- 0.46);1.5;1.5;2
3;forum_participation>forum_vis>assignment_sub;214;633469;356819.9953271028;3418;214;214;1.45 (+- 0.46);1.5;1.5;2
3;forum_participation>forum_vis>assignment_try;195;633469;359028.5282051282;2928;195;195;1.46 (+- 0.47);1.5;1.5;2
3;forum_participation>assignment_vis>assignment_sub;227;633732;359963.99559471366;3520;227;227;1.46 (+- 0.45);1.5;1.5;2
3;forum_participation>assignment_vis>assignment_try;206;633732;363505.1941747573;3012;206;206;1.46 (+- 0.46);1.5;1.5;2
3;forum_participation>assignment_try>assignment_sub;206;633732;363505.1941747573;3012;206;206;1.46 (+- 0.46);1.5;1.5;2
4;resource_vis>assignment_vis>resource_vis>assignment_vis;516;633768;384775.8934108527;7226;516;516;1.39 (+- 0.51);1.5;1.5;2
4;resource_vis>assignment_vis>resource_vis>assignment_try;338;633747;403246.02366863907;1332;338;338;1.37 (+- 0.54);1.5;1.5;2
4;resource_vis>assignment_vis>resource_vis>assignment_sub;545;633768;378044.7137614679;6982;545;545;1.38 (+- 0.51);1.5;1.5;2
4;resource_vis>assignment_vis>resource_vis>resource_vis;197;633768;455442.27918781724;1108;197;197;1.38 (+- 0.54);1.5;1.5;2
4;resource_vis>assignment_vis>resource_vis>forum_vis;204;633123;418320.7450980392;810;204;204;1.41 (+- 0.51);1.5;1.5;2
4;resource_vis>assignment_vis>assignment_vis>assignment_try;492;633822;373532.39430894307;5066;492;492;1.40 (+- 0.53);1.5;1.5;2
4;resource_vis>assignment_vis>assignment_vis>assignment_sub;970;633918;327801.2051546392;15383;970;970;1.41 (+- 0.50);1.5;1.5;2
4;resource_vis>assignment_vis>assignment_vis>assignment_vis;402;633843;406342.46766169154;5480;402;402;1.39 (+- 0.52);1.5;1.5;2
4;resource_vis>assignment_vis>assignment_vis>resource_vis;271;633768;451469.59040590405;2136;271;271;1.35 (+- 0.53);1.5;1.5;2
4;resource_vis>assignment_vis>assignment_vis>forum_vis;185;633575;444965.5837837838;738;185;185;1.36 (+- 0.53);1.5;1.5;2
4;resource_vis>assignment_vis>assignment_try>assignment_sub;1634;633934;272153.6738066095;16142;1634;1634;1.42 (+- 0.50);1.5;1.5;2
