sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_avg_deviation;grade_median;grade_mode;max_grade
2;resource_vis_START>assignment_vis_START;297;633822;466221.77104377106;901;297;297;1.4191919191919191;0.5151771082913651;1.5;1.5;2
2;resource_vis_START>resource_vis_START;242;633747;410412.81404958677;434;242;242;1.4028925619834711;0.5271388961128449;1.5;1.5;2
2;resource_vis_START>assignment_sub_END;730;633923;494372.0123287671;3734;730;730;1.417123287671233;0.5027168422307208;1.5;1.5;2
2;resource_vis_START>assignment_try_END;246;633789;508407.2154471545;492;246;246;1.3882113821138211;0.4788413439608627;1.5;1.5;2
2;resource_vis_START>resource_vis_END;408;633832;511827.9289215686;1552;408;408;1.3860294117647058;0.5197579469879676;1.5;1.5;2
2;resource_vis_START>assignment_try_START;235;633822;365549.4;235;235;235;1.3638297872340426;0.5296449108483545;1.5;1.5;2
2;resource_vis_START>assignment_sub_START;297;633500;212166.5185185185;297;297;297;1.4006734006734007;0.5225323775040983;1.5;1.5;2
2;resource_vis_START>assignment_vis_END;237;633500;514416.5569620253;872;237;237;1.409282700421941;0.5199396072291071;1.5;1.5;2
2;resource_vis_START>forum_vis_START;308;633575;422067.94805194804;913;308;308;1.4399350649350648;0.4880954100585163;1.5;1.5;2
2;resource_vis_START>forum_vis_END;291;632734;493418.941580756;1272;291;291;1.4347079037800687;0.506030700212946;1.5;1.5;2
2;assignment_vis_START>resource_vis_START;286;633832;399874.33566433564;501;286;286;1.3898601398601398;0.5257595821906088;1.5;1.5;2
2;assignment_vis_START>assignment_sub_END;499;633907;516597.5671342685;2256;499;499;1.3957915831663326;0.5198493030106526;1.5;1.5;2
2;assignment_vis_START>assignment_vis_END;206;633580;527226.1504854369;792;206;206;1.4490291262135921;0.49245431049795196;1.5;1.5;2
2;assignment_vis_START>resource_vis_END;332;633832;530247.358433735;1382;332;332;1.4126506024096386;0.5111058665850374;1.5;1.5;2
2;assignment_vis_START>assignment_try_END;193;633655;528897.8860103627;386;193;193;1.38860103626943;0.501845148965881;1.5;1.5;2
2;assignment_vis_START>forum_vis_END;186;633463;510231.12903225806;372;186;186;1.4327956989247312;0.5167985975869974;1.5;1.5;2
2;assignment_try_END>resource_vis_END;312;633852;265341.6955128205;624;312;312;1.358974358974359;0.5252311443235572;1.5;1.5;2
2;assignment_try_END>assignment_sub_END;685;633927;274379.297810219;2176;685;685;1.3795620437956204;0.5105808362738321;1.5;1.5;2
2;resource_vis_END>assignment_sub_END;1302;633852;248389.7434715822;5657;1302;1302;1.4001536098310292;0.5074540219367011;1.5;1.5;2
2;resource_vis_END>assignment_try_END;384;633843;246824.79427083334;768;384;384;1.421875;0.4945030736175786;1.5;1.5;2
2;resource_vis_END>resource_vis_END;335;633768;289730.5223880597;1408;335;335;1.4104477611940298;0.5142095638515001;1.5;1.5;2
2;resource_vis_END>forum_vis_END;348;633077;307945.0632183908;1054;348;348;1.4310344827586208;0.4871395884493499;1.5;1.5;2
2;resource_vis_END>assignment_vis_END;243;633768;319292.90534979425;866;243;243;1.3847736625514404;0.5173584469294549;1.5;1.5;2
2;assignment_try_START>assignment_sub_END;254;633822;508866.23622047243;254;254;254;1.3543307086614174;0.5033886601463353;1.5;1.5;2
2;assignment_vis_END>resource_vis_END;550;633768;288962.50363636366;2258;550;550;1.4018181818181819;0.5017241344971788;1.5;1.5;2
2;assignment_vis_END>assignment_try_END;177;633768;290717.37853107345;354;177;177;1.4152542372881356;0.5097281670796011;1.5;1.5;2
2;assignment_vis_END>assignment_sub_END;618;633768;295065.2621359223;3054;618;618;1.3996763754045307;0.5032792550359729;1.5;1.5;2
2;assignment_vis_END>forum_vis_END;264;632920;340574.7272727273;528;264;264;1.3996212121212122;0.4897813670742548;1.5;1.5;2
2;forum_vis_START>resource_vis_START;223;632750;409626.28251121077;402;223;223;1.446188340807175;0.5038333240487467;1.5;1.5;2
2;forum_vis_START>resource_vis_END;197;633093;490553.70050761424;394;197;197;1.4517766497461928;0.49893702402385387;1.5;1.5;2
2;forum_vis_START>forum_vis_END;209;633077;488580.63636363635;766;209;209;1.4401913875598087;0.4853745200699781;1.5;1.5;2
2;forum_vis_START>assignment_sub_END;324;633918;485111.3333333333;1340;324;324;1.4429012345679013;0.4808843531588673;1.5;1.5;2
2;forum_vis_START>forum_vis_START;184;633389;407438.23913043475;184;184;184;1.483695652173913;0.4730501363031227;1.5;1.5;2
2;forum_vis_END>forum_participation_END;179;633077;375209.91620111733;696;179;179;1.4441340782122905;0.46168560720426066;1.5;1.5;2
2;forum_vis_END>forum_vis_END;289;632814;360333.9480968858;1604;289;289;1.4238754325259515;0.48169715703513594;1.5;1.5;2
2;forum_vis_END>assignment_sub_END;563;633726;330398.3072824156;4042;563;563;1.4058614564831262;0.49555076874265225;1.5;1.5;2
2;forum_vis_END>resource_vis_END;319;633569;317320.6802507837;996;319;319;1.4075235109717867;0.5016386468292348;1.5;1.5;2
2;forum_vis_END>assignment_try_END;179;633077;341107.56424581003;358;179;179;1.4357541899441342;0.4529005966809039;1.5;1.5;2
2;forum_vis_END>assignment_vis_END;180;632814;365273.56111111114;360;180;180;1.3583333333333334;0.5212656492566646;1.5;1.5;2
2;forum_participation_END>forum_vis_END;169;632814;375136.7455621302;676;169;169;1.4378698224852071;0.4667366006448561;1.5;1.5;2
2;forum_participation_END>assignment_sub_END;179;633077;375209.91620111733;696;179;179;1.4441340782122905;0.46168560720426066;1.5;1.5;2
3;resource_vis_START>assignment_vis_START>assignment_sub_END;266;633822;508118.36842105264;435;266;266;1.4154135338345866;0.5188768876822912;1.5;1.5;2
3;resource_vis_START>assignment_vis_START>resource_vis_END;169;633747;525504.7337278107;338;169;169;1.3994082840236686;0.5361344271529161;1.5;1.5;2
3;resource_vis_START>resource_vis_START>assignment_sub_END;192;633747;489251.0364583333;192;192;192;1.4140625;0.5333487570032002;1.5;1.5;2
3;resource_vis_START>assignment_try_END>assignment_sub_END;246;633789;508407.2154471545;246;246;246;1.3882113821138211;0.4788413439608627;1.5;1.5;2
3;resource_vis_START>resource_vis_END>assignment_sub_END;408;633832;511827.9289215686;776;408;408;1.3860294117647058;0.5197579469879676;1.5;1.5;2
3;resource_vis_START>assignment_vis_END>resource_vis_END;199;633495;516647.0703517588;398;199;199;1.399497487437186;0.5221843677117729;1.5;1.5;2
3;resource_vis_START>assignment_vis_END>assignment_sub_END;237;633500;514416.5569620253;436;237;237;1.409282700421941;0.5199396072291071;1.5;1.5;2
3;resource_vis_START>forum_vis_START>forum_vis_END;174;632734;490102.5574712644;348;174;174;1.4425287356321839;0.506748032589819;1.5;1.5;2
3;resource_vis_START>forum_vis_START>assignment_sub_END;257;633575;484498.8521400778;431;257;257;1.4377431906614786;0.4941212648898471;1.5;1.5;2
3;resource_vis_START>forum_vis_END>forum_vis_END;171;632729;503124.69590643275;342;171;171;1.4619883040935673;0.5029496757459829;1.5;1.5;2
3;resource_vis_START>forum_vis_END>assignment_sub_END;291;632734;493418.941580756;636;291;291;1.4347079037800687;0.506030700212946;1.5;1.5;2
3;assignment_vis_START>resource_vis_START>assignment_sub_END;215;633832;505159.5023255814;215;215;215;1.4;0.527735419407487;1.5;1.5;2
3;assignment_vis_START>assignment_vis_END>resource_vis_END;190;633580;531273.6315789474;380;190;190;1.444736842105263;0.4888694269688948;1.5;1.5;2
