sequence_size;sequence;total;total_time_span;avg_time_span;i_support;f_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
3;assignment_sub>forum_vis>resource_vis;186;690506;554413.0268817204;372;2;186;186;1.29 (+- 0.50);1.5;1.5;2
3;assignment_sub>forum_vis>assignment_sub;426;690506;517458.0117370892;12017;56;426;426;1.28 (+- 0.51);1.5;1.5;2
3;assignment_sub>forum_vis>forum_participation;188;690266;519467.55319148937;1414;8;188;188;1.29 (+- 0.51);1.5;1.5;2
3;assignment_sub>forum_vis>assignment_try;173;690227;548321.6300578035;346;2;173;173;1.31 (+- 0.48);1.5;1.5;2
3;assignment_sub>resource_vis>resource_vis;260;690516;553381.2807692308;2382;12;260;260;1.18 (+- 0.54);1.0;1.5;2
3;assignment_sub>resource_vis>forum_vis;171;690482;544953.2397660819;342;2;171;171;1.26 (+- 0.53);1.5;1.5;2
3;assignment_sub>resource_vis>assignment_vis;352;690528;555772.1761363636;6208;28;352;352;1.21 (+- 0.52);1.0;1.5;2
3;assignment_sub>resource_vis>assignment_sub;561;690528;524485.5240641711;13314;56;561;561;1.22 (+- 0.53);1.5;1.5;2
3;assignment_sub>resource_vis>assignment_try;180;690237;556399.4888888889;690;4;180;180;1.25 (+- 0.55);1.5;1.5;2
3;assignment_sub>forum_participation>forum_vis;167;690266;521955.32934131735;668;4;167;167;1.29 (+- 0.51);1.5;1.5;2
3;assignment_sub>forum_participation>assignment_sub;188;690266;519467.55319148937;1062;6;188;188;1.29 (+- 0.51);1.5;1.5;2
3;assignment_vis>assignment_vis>assignment_vis;1348;690598;435300.9599406528;142148;528;1348;1348;1.19 (+- 0.57);1.0;1.5;2
3;assignment_vis>assignment_vis>assignment_try;745;690554;469232.39463087247;33094;132;745;745;1.23 (+- 0.56);1.5;1.5;2
3;assignment_vis>assignment_vis>assignment_sub;1609;690598;411935.8949658173;140442;518;1609;1609;1.18 (+- 0.57);1.0;1.5;2
3;assignment_vis>assignment_vis>resource_vis;785;690598;432372.3261146497;48339;197;785;785;1.19 (+- 0.56);1.0;1.5;2
3;assignment_vis>assignment_vis>forum_vis;474;690598;474315.6687763713;31398;146;474;474;1.26 (+- 0.52);1.5;1.5;2
3;assignment_vis>assignment_vis>forum_participation;196;690266;484105.4387755102;2540;14;196;196;1.28 (+- 0.50);1.5;1.5;2
3;assignment_vis>assignment_try>assignment_sub;908;690554;447504.28524229076;34391;133;908;908;1.22 (+- 0.57);1.5;1.5;2
3;assignment_vis>assignment_try>assignment_vis;611;690554;491331.6890343699;22644;93;611;611;1.24 (+- 0.54);1.5;1.5;2
3;assignment_vis>assignment_try>assignment_try;260;690451;533849.3730769231;1988;10;260;260;1.28 (+- 0.51);1.5;1.5;2
3;assignment_vis>assignment_try>resource_vis;404;690540;467103.9232673267;7061;32;404;404;1.21 (+- 0.56);1.5;1.5;2
3;assignment_vis>assignment_try>forum_vis;194;690554;519709.86597938143;388;2;194;194;1.34 (+- 0.50);1.5;1.5;2
3;assignment_vis>assignment_sub>assignment_vis;1116;690598;474008.86559139786;63785;238;1116;1116;1.26 (+- 0.53);1.5;1.5;2
3;assignment_vis>assignment_sub>assignment_try;495;690540;506569.5292929293;9494;38;495;495;1.30 (+- 0.51);1.5;1.5;2
3;assignment_vis>assignment_sub>assignment_sub;1264;690598;463615.07990506326;59720;218;1264;1264;1.26 (+- 0.52);1.5;1.5;2
3;assignment_vis>assignment_sub>forum_vis;318;690506;503705.5440251572;6004;28;318;318;1.31 (+- 0.50);1.5;1.5;2
3;assignment_vis>assignment_sub>resource_vis;402;690516;522869.53482587065;8962;40;402;402;1.24 (+- 0.52);1.5;1.5;2
3;assignment_vis>resource_vis>assignment_sub;953;690598;411370.6537250787;53799;213;953;953;1.17 (+- 0.58);1.0;1.5;2
3;assignment_vis>resource_vis>resource_vis;526;690598;471049.4581749049;16894;74;526;526;1.18 (+- 0.57);1.0;1.5;2
3;assignment_vis>resource_vis>forum_vis;291;690598;492916.8969072165;4056;20;291;291;1.24 (+- 0.55);1.5;1.5;2
3;assignment_vis>resource_vis>assignment_vis;677;690598;458574.10782865586;41338;169;677;677;1.21 (+- 0.55);1.5;1.5;2
3;assignment_vis>resource_vis>assignment_try;381;690540;472934.90813648293;7163;33;381;381;1.26 (+- 0.57);1.5;1.5;2
3;assignment_vis>forum_vis>forum_vis;459;690598;471277.45751633984;44142;210;459;459;1.26 (+- 0.52);1.5;1.5;2
3;assignment_vis>forum_vis>assignment_vis;427;690598;488188.38641686185;24602;116;427;427;1.28 (+- 0.52);1.5;1.5;2
