sequence_size;sequence;total;total_time_span;avg_time_span;i_support;f_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
2;assignment_try_END>forum_vis_END;170;689458;480082.46470588236;1348;8;170;170;1.33 (+- 0.48);1.5;1.5;2
2;assignment_try_END>resource_vis_END;265;688962;465316.3245283019;3592;16;265;265;1.21 (+- 0.54);1.5;1.5;2
2;assignment_sub_END>assignment_vis_END;891;690554;475954.76767676766;167482;546;891;891;1.27 (+- 0.52);1.5;1.5;2
2;assignment_sub_END>assignment_try_END;691;690540;459046.57597684517;114416;352;691;691;1.27 (+- 0.52);1.5;1.5;2
2;assignment_sub_END>assignment_sub_END;891;690554;475954.76767676766;159824;508;891;891;1.27 (+- 0.52);1.5;1.5;2
2;resource_vis_START>assignment_sub_START;623;690305;374605.68218298553;46629;205;623;623;1.11 (+- 0.63);1.0;1.5;2
2;resource_vis_START>assignment_vis_START;698;690526;401317.4971346705;76248;336;698;698;1.13 (+- 0.61);1.0;1.5;2
2;resource_vis_START>assignment_try_START;499;690249;370670.73146292585;25641;115;499;499;1.12 (+- 0.63);1.0;1.5;2
2;resource_vis_START>forum_vis_START;212;690526;465121.03301886795;1051;6;212;212;1.23 (+- 0.55);1.5;1.5;2
2;resource_vis_START>resource_vis_START;189;690259;436359.91005291004;356;2;189;189;1.16 (+- 0.57);1.0;1.0;2
2;resource_vis_START>assignment_vis_END;511;690526;578564.9138943248;81447;373;511;511;1.22 (+- 0.54);1.5;1.5;2
2;resource_vis_START>assignment_sub_END;512;690526;578376.888671875;69107;315;512;512;1.22 (+- 0.54);1.5;1.5;2
2;resource_vis_START>assignment_try_END;404;690526;582459.6509900991;47366;224;404;404;1.21 (+- 0.54);1.5;1.5;2
2;resource_vis_START>resource_vis_END;286;690470;582257.5944055944;17220;88;286;286;1.22 (+- 0.53);1.5;1.5;2
2;forum_vis_START>assignment_vis_START;378;690584;449179.5291005291;9397;46;378;378;1.23 (+- 0.56);1.5;1.5;2
2;forum_vis_START>resource_vis_START;186;690526;430377.58602150535;186;1;186;186;1.16 (+- 0.62);1.0;1.5;2
2;forum_vis_START>assignment_sub_START;259;690305;396561.3667953668;2624;14;259;259;1.19 (+- 0.60);1.5;1.5;2
2;forum_vis_START>assignment_try_START;253;690438;403957.5849802372;2631;14;253;253;1.23 (+- 0.60);1.5;1.5;2
2;forum_vis_START>assignment_vis_END;374;690584;569960.5374331551;25349;131;374;374;1.27 (+- 0.52);1.5;1.5;2
2;forum_vis_START>assignment_sub_END;375;690584;569726.7653333333;22940;119;375;375;1.27 (+- 0.52);1.5;1.5;2
2;forum_vis_START>forum_vis_START;266;690267;468075.08646616543;3175;17;266;266;1.25 (+- 0.54);1.5;1.5;2
2;forum_vis_START>assignment_try_END;300;690584;571038.0533333333;14476;78;300;300;1.27 (+- 0.53);1.5;1.0;2
2;forum_vis_START>forum_participation_START;190;690266;478050.4684210526;360;2;190;190;1.28 (+- 0.52);1.5;1.5;2
2;forum_vis_START>forum_vis_END;205;690482;573787.424390244;2156;12;205;205;1.31 (+- 0.52);1.5;1.5;2
2;forum_vis_START>resource_vis_END;170;690296;577616.1529411764;674;4;170;170;1.29 (+- 0.52);1.5;1.5;2
2;forum_vis_END>assignment_vis_END;368;690598;494324.39130434784;17000;84;368;368;1.26 (+- 0.52);1.5;1.5;2
2;forum_vis_END>forum_vis_END;206;690598;509246.5970873786;1488;8;206;206;1.33 (+- 0.52);1.5;1.5;2
2;forum_vis_END>forum_participation_END;167;690133;507919.41916167666;668;4;167;167;1.31 (+- 0.53);1.5;1.5;2
2;forum_vis_END>assignment_try_END;287;690598;483514.7909407666;6334;32;287;287;1.25 (+- 0.52);1.5;1.5;2
2;forum_vis_END>assignment_sub_END;371;690598;493555.56603773584;16072;79;371;371;1.26 (+- 0.52);1.5;1.5;2
2;forum_participation_END>assignment_vis_END;167;690133;507919.41916167666;668;4;167;167;1.31 (+- 0.53);1.5;1.5;2
2;forum_participation_END>assignment_sub_END;167;690133;507919.41916167666;668;4;167;167;1.31 (+- 0.53);1.5;1.5;2
2;forum_participation_START>forum_vis_START;172;690266;477375.91279069765;342;2;172;172;1.27 (+- 0.53);1.5;1.5;2
2;resource_vis_END>assignment_vis_END;617;690598;466191.2463533225;80974;356;617;617;1.23 (+- 0.53);1.5;1.5;2
2;resource_vis_END>assignment_try_END;467;690598;449839.3683083512;44509;205;467;467;1.22 (+- 0.53);1.5;1.5;2
2;resource_vis_END>assignment_sub_END;634;690598;466456.45583596214;77760;339;634;634;1.23 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>assignment_try_START>assignment_sub_START;1315;690598;383582.9422053232;83790;271;1315;1315;1.08 (+- 0.63);1.0;1.5;2
3;assignment_vis_START>assignment_try_START>assignment_vis_START;1102;690598;459829.4346642468;89938;303;1102;1102;1.20 (+- 0.57);1.0;1.5;2
3;assignment_vis_START>assignment_try_START>assignment_vis_END;947;690598;584345.6388595565;128931;427;947;947;1.23 (+- 0.54);1.5;1.5;2
3;assignment_vis_START>assignment_try_START>assignment_try_END;755;690598;591333.1430463577;93390;292;755;755;1.23 (+- 0.54);1.5;1.5;2
3;assignment_vis_START>assignment_try_START>assignment_sub_END;948;690598;584237.9915611814;114270;369;948;948;1.23 (+- 0.54);1.5;1.5;2
3;assignment_vis_START>assignment_try_START>resource_vis_START;335;690451;440359.5104477612;3569;17;335;335;1.18 (+- 0.59);1.0;1.5;2
3;assignment_vis_START>assignment_try_START>assignment_try_START;315;690185;318989.69523809524;2360;10;315;315;1.25 (+- 0.54);1.5;1.5;2
3;assignment_vis_START>assignment_try_START>forum_vis_END;225;690506;593215.6711111111;3798;20;225;225;1.27 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>assignment_try_START>forum_vis_START;251;690438;508330.2430278885;3611;20;251;251;1.27 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>assignment_try_START>resource_vis_END;386;690528;588765.4248704663;21707;96;386;386;1.22 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>assignment_sub_START>assignment_vis_START;1025;690598;492821.2975609756;93358;318;1025;1025;1.24 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>assignment_sub_START>assignment_vis_END;947;690598;590505.2312565998;149363;512;947;947;1.23 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>assignment_sub_START>assignment_try_END;794;690598;594537.6700251889;110032;364;794;794;1.22 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>assignment_sub_START>assignment_sub_END;948;690598;590391.0864978903;129833;432;948;948;1.23 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>assignment_sub_START>assignment_try_START;344;690258;341632.75;3880;18;344;344;1.27 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>assignment_sub_START>assignment_sub_START;260;690185;209790.79615384617;1828;8;260;260;1.25 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>assignment_sub_START>forum_vis_START;233;690438;524795.7768240343;3041;17;233;233;1.29 (+- 0.50);1.5;1.5;2
3;assignment_vis_START>assignment_sub_START>resource_vis_START;167;690157;464067.23353293416;167;1;167;167;1.22 (+- 0.54);1.5;1.5;2
3;assignment_vis_START>assignment_sub_START>forum_vis_END;229;690506;598191.3930131005;4506;24;229;229;1.27 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>assignment_sub_START>resource_vis_END;384;690528;596674.5729166666;25236;114;384;384;1.22 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>assignment_vis_START>assignment_vis_END;953;690598;585242.6169989507;178016;640;953;953;1.23 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>assignment_vis_START>assignment_try_END;773;690598;590544.8395860285;121058;420;773;773;1.23 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>assignment_vis_START>assignment_sub_END;954;690598;585134.7064989518;155047;546;954;954;1.23 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>assignment_vis_START>assignment_try_START;606;690511;365277.62541254127;17236;77;606;606;1.19 (+- 0.59);1.25;1.5;2
