sequence_size;sequence;total;total_time_span;avg_time_span;i_support;f_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
2;resource_vis_START>assignment_try_END;201;690470;587230.0199004975;732;4;201;201;1.24 (+- 0.53);1.0;1.0;2
2;forum_vis_START>assignment_vis_START;297;690526;505796.0808080808;920;4;297;297;1.26 (+- 0.53);1.5;1.5;2
2;forum_vis_START>resource_vis_START;186;690526;429456.72580645164;186;1;186;186;1.16 (+- 0.62);1.0;1.5;2
2;forum_vis_START>assignment_sub_START;259;690305;395976.40154440154;421;2;259;259;1.19 (+- 0.60);1.5;1.5;2
2;forum_vis_START>assignment_sub_END;375;690540;568184.4906666667;2556;12;375;375;1.27 (+- 0.52);1.5;1.5;2
2;forum_vis_START>forum_vis_START;266;690223;466499.3984962406;825;4;266;266;1.25 (+- 0.54);1.5;1.5;2
2;forum_vis_START>forum_participation_START;190;690208;477320.84736842103;360;2;190;190;1.28 (+- 0.52);1.5;1.5;2
2;forum_vis_START>assignment_vis_END;165;690203;578120.1272727273;330;2;165;165;1.27 (+- 0.53);1.5;1.5;2
2;forum_vis_START>forum_vis_END;205;690424;572149.8585365854;410;2;205;205;1.31 (+- 0.52);1.5;1.5;2
2;forum_vis_START>resource_vis_END;170;690238;575073.8294117647;340;2;170;170;1.29 (+- 0.52);1.5;1.5;2
2;assignment_vis_END>forum_vis_END;250;690319;491305.7;854;4;250;250;1.26 (+- 0.52);1.5;1.5;2
2;assignment_vis_END>assignment_sub_END;495;690319;467960.5070707071;4309;18;495;495;1.25 (+- 0.51);1.5;1.5;2
2;assignment_vis_END>resource_vis_END;379;690319;460233.48548812664;2615;11;379;379;1.24 (+- 0.52);1.5;1.5;2
2;assignment_vis_END>assignment_try_END;167;690319;465367.125748503;334;2;167;167;1.26 (+- 0.51);1.5;1.5;2
2;forum_vis_END>forum_vis_END;206;690540;508542.03883495147;412;2;206;206;1.33 (+- 0.52);1.5;1.5;2
2;forum_vis_END>forum_participation_END;167;690075;507255.2874251497;334;2;167;167;1.31 (+- 0.53);1.5;1.5;2
2;forum_vis_END>assignment_sub_END;371;690540;491940.2318059299;2062;9;371;371;1.26 (+- 0.52);1.5;1.5;2
2;forum_participation_END>assignment_sub_END;167;690075;507255.2874251497;334;2;167;167;1.31 (+- 0.53);1.5;1.5;2
2;forum_participation_START>forum_vis_START;172;690208;476602.48255813954;342;2;172;172;1.27 (+- 0.53);1.5;1.5;2
2;resource_vis_END>assignment_sub_END;634;690540;463041.83753943216;6145;24;634;634;1.23 (+- 0.53);1.5;1.5;2
2;resource_vis_END>assignment_try_END;187;690540;467497.2459893048;374;2;187;187;1.28 (+- 0.54);1.5;1.5;2
3;assignment_sub_START>assignment_vis_START>assignment_try_END;326;690282;593852.3680981596;652;2;326;326;1.25 (+- 0.52);1.5;1.5;2
3;assignment_sub_START>assignment_vis_START>assignment_sub_END;780;690319;589515.7243589744;3776;13;780;780;1.23 (+- 0.53);1.5;1.5;2
3;assignment_sub_START>assignment_vis_START>forum_vis_START;183;690159;526351.4863387978;183;1;183;183;1.28 (+- 0.49);1.5;1.5;2
3;assignment_sub_START>assignment_vis_START>assignment_vis_END;243;690237;598220.2263374486;844;4;243;243;1.26 (+- 0.50);1.5;1.5;2
3;assignment_sub_START>assignment_vis_START>forum_vis_END;191;690227;597213.4712041885;382;2;191;191;1.27 (+- 0.50);1.5;1.5;2
3;assignment_sub_START>assignment_vis_START>resource_vis_END;315;690249;595982.3206349206;1516;7;315;315;1.23 (+- 0.51);1.5;1.5;2
3;assignment_sub_START>assignment_try_END>assignment_sub_END;382;690319;595208.5471204189;1042;4;382;382;1.25 (+- 0.52);1.5;1.5;2
3;assignment_sub_START>assignment_sub_END>assignment_sub_END;539;690303;600752.9962894248;1704;6;539;539;1.27 (+- 0.51);1.5;1.5;2
