sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_avg_deviation;grade_median;grade_mode;max_grade
2;assignment_vis>assignment_try;2167;690823;380751.9017074296;428284;2167;2167;1.2761882787263499;0.6341145429232473;1.5;1.5;2
2;assignment_vis>assignment_sub;2186;690823;377489.20173833484;499810;2186;2186;1.2662397072278133;0.6416328178552982;1.5;1.5;2
2;assignment_vis>assignment_vis;1821;690823;436190.9807797913;533288;1821;1821;1.3154859967051071;0.5987639717761971;1.5;1.5;2
2;assignment_vis>resource_vis;1230;690823;432744.28292682924;286720;1230;1230;1.328048780487805;0.5982632288782286;1.5;1.5;2
2;assignment_vis>forum_vis;782;690764;480234.5255754476;249436;782;782;1.3343989769820972;0.5800841780929109;1.5;1.5;2
2;assignment_vis>forum_participation;304;690590;495417.1743421053;36716;304;304;1.3486842105263157;0.5496457715704863;1.5;1.5;2
2;assignment_try>assignment_sub;2167;690823;380751.9017074296;353339;2167;2167;1.2761882787263499;0.6341145429232473;1.5;1.5;2
2;assignment_try>assignment_vis;1529;690748;464752.8999345978;286061;1529;1529;1.3319162851536952;0.5810052250378386;1.5;1.5;2
2;assignment_try>resource_vis;862;690686;485081.5812064965;132958;862;862;1.3561484918793503;0.5760033038372303;1.5;1.5;2
2;assignment_try>assignment_try;1114;690748;520189.37253141834;139806;1114;1114;1.336624775583483;0.5665628379770723;1.5;1.5;2
2;assignment_try>forum_vis;527;690629;525359.2182163188;96736;527;527;1.3377609108159392;0.5674614237483592;1.5;1.5;2
2;assignment_try>forum_participation;200;690447;534467.52;6072;200;200;1.3575;0.5723474978467691;1.5;1.5;2
2;assignment_sub>assignment_vis;1252;690823;527972.5806709265;238252;1252;1252;1.3558306709265175;0.5527544833528678;1.5;1.5;2
2;assignment_sub>assignment_try;1211;690823;529822.2733278283;146480;1211;1211;1.3509496284062759;0.5517413514938035;1.5;1.5;2
2;assignment_sub>assignment_sub;1252;690823;527972.5806709265;167238;1252;1252;1.3558306709265175;0.5527544833528678;1.5;1.5;2
2;assignment_sub>resource_vis;652;690823;564845.7423312883;106896;652;652;1.3995398773006136;0.5347665008103303;1.5;1.5;2
2;assignment_sub>forum_vis;470;690704;559896.6787234043;88166;470;470;1.3468085106382979;0.5682993984899184;1.5;1.5;2
2;assignment_sub>forum_participation;196;690590;560988.2806122449;8912;196;196;1.3545918367346939;0.5458743508421864;1.5;1.5;2
2;resource_vis>assignment_vis;1457;690823;415932.8551818806;360826;1457;1457;1.3013040494166095;0.6180812221611827;1.5;1.5;2
2;resource_vis>assignment_try;1323;690823;428589.3144368859;245540;1323;1323;1.3144368858654574;0.6067536290157061;1.5;1.5;2
2;resource_vis>resource_vis;763;690823;500205.31585845345;135020;763;763;1.3781127129750983;0.5608211105047441;1.5;1.5;2
2;resource_vis>assignment_sub;1494;690823;410182.5542168675;303722;1494;1494;1.2958500669344042;0.6204455059584425;1.5;1.5;2
2;resource_vis>forum_vis;602;690704;482528.66777408635;109918;602;602;1.3289036544850499;0.5788523219862031;1.5;1.5;2
2;resource_vis>forum_participation;208;690590;488408.1826923077;6160;208;208;1.4423076923076923;0.5098436451984453;1.5;1.5;2
2;forum_vis>assignment_vis;892;690764;456532.44170403585;278115;892;892;1.3228699551569507;0.5964856420036414;1.5;1.5;2
2;forum_vis>assignment_try;823;690764;464680.52247873635;166341;823;823;1.3298906439854192;0.5910779156608246;1.5;1.5;2
2;forum_vis>assignment_sub;899;690764;454554.54616240266;225114;899;899;1.3231368186874304;0.5968353383691107;1.5;1.5;2
2;forum_vis>forum_vis;553;690764;481952.4502712477;169882;553;553;1.3481012658227849;0.5594065604473933;1.5;1.5;2
2;forum_vis>forum_participation;360;690764;469476.65;70754;360;360;1.386111111111111;0.5518531847155148;1.5;1.5;2
2;forum_vis>resource_vis;567;690704;476103.012345679;93290;567;567;1.353615520282187;0.572253138072928;1.5;1.5;2
2;forum_participation>forum_vis;335;690764;476019.74925373134;66246;335;335;1.3850746268656717;0.5521470697465718;1.5;1.5;2
2;forum_participation>forum_participation;228;690764;493813.47807017545;25624;228;228;1.3793859649122806;0.5286218222808966;1.5;1.5;2
2;forum_participation>assignment_vis;358;690764;470985.0921787709;58628;358;358;1.3896648044692737;0.5484680977741659;1.5;1.5;2
2;forum_participation>assignment_try;341;690764;481771.77419354836;37680;341;341;1.401759530791789;0.5353914024049984;1.5;1.5;2
2;forum_participation>assignment_sub;360;690764;469476.65;54790;360;360;1.386111111111111;0.5518531847155148;1.5;1.5;2
2;forum_participation>resource_vis;194;690590;499793.1030927835;2968;194;194;1.4561855670103092;0.5083631016376696;1.5;1.5;2
3;assignment_vis>assignment_try>assignment_sub;2167;690823;380751.9017074296;247973;2167;2167;1.2761882787263499;0.6341145429232473;1.5;1.5;2
3;assignment_vis>assignment_try>assignment_vis;1529;690748;464752.8999345978;167634;1529;1529;1.3319162851536952;0.5810052250378386;1.5;1.5;2
3;assignment_vis>assignment_try>resource_vis;862;690686;485081.5812064965;72214;862;862;1.3561484918793503;0.5760033038372303;1.5;1.5;2
3;assignment_vis>assignment_try>assignment_try;1114;690748;520189.37253141834;74364;1114;1114;1.336624775583483;0.5665628379770723;1.5;1.5;2
3;assignment_vis>assignment_try>forum_vis;527;690629;525359.2182163188;48800;527;527;1.3377609108159392;0.5674614237483592;1.5;1.5;2
3;assignment_vis>assignment_try>forum_participation;200;690447;534467.52;3036;200;200;1.3575;0.5723474978467691;1.5;1.5;2
3;assignment_vis>assignment_sub>assignment_vis;1246;690748;527745.5778491172;137598;1246;1246;1.3559390048154094;0.552388789341214;1.5;1.5;2
3;assignment_vis>assignment_sub>assignment_try;1205;690748;529596.7568464731;85848;1205;1205;1.3510373443983403;0.5513583372418505;1.5;1.5;2
3;assignment_vis>assignment_sub>assignment_sub;1246;690748;527745.5778491172;97945;1246;1246;1.3559390048154094;0.552388789341214;1.5;1.5;2
