sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_avg_deviation;grade_median;grade_mode;max_grade
3;assignment_sub>forum_vis>forum_participation;196;690590;560875.8520408163;1490;196;196;1.3545918367346939;0.5458743508421864;1.5;1.5;2
3;assignment_sub>forum_vis>assignment_sub;470;690704;559766.9829787234;11879;470;470;1.3468085106382979;0.5682993984899184;1.5;1.5;2
3;assignment_sub>forum_vis>assignment_vis;352;690704;577296.7215909091;6828;352;352;1.3394886363636365;0.5703527871982409;1.5;1.5;2
3;assignment_sub>forum_vis>resource_vis;275;690590;573023.970909091;2932;275;275;1.3909090909090909;0.5411102156012235;1.5;1.5;2
3;assignment_sub>forum_vis>assignment_try;178;690442;572424.5674157303;356;178;178;1.3370786516853932;0.5811311826137722;1.5;1.5;2
3;assignment_sub>forum_participation>forum_vis;180;690590;562256.9611111111;720;180;180;1.3583333333333334;0.547403724858378;1.5;1.5;2
3;assignment_sub>forum_participation>assignment_sub;196;690590;560875.8520408163;1121;196;196;1.3545918367346939;0.5458743508421864;1.5;1.5;2
3;assignment_vis>assignment_vis>assignment_vis;1056;690823;501199.89867424243;66028;1056;1056;1.3503787878787878;0.5667399484595657;1.5;1.5;2
3;assignment_vis>assignment_vis>assignment_try;566;690567;500198.6519434629;8892;566;566;1.4063604240282686;0.5238338966509593;1.5;1.5;2
3;assignment_vis>assignment_vis>assignment_sub;1469;690823;463681.33628318587;74958;1469;1469;1.3383253914227367;0.5729199318157209;1.5;1.5;2
3;assignment_vis>assignment_vis>resource_vis;816;690823;481376.89460784313;34308;816;816;1.3884803921568627;0.5486757238313075;1.5;1.5;2
3;assignment_vis>assignment_vis>forum_vis;532;690764;504502.20864661655;28588;532;532;1.3383458646616542;0.5717744942219387;1.5;1.5;2
3;assignment_vis>assignment_vis>forum_participation;190;690590;514958.2684210526;1132;190;190;1.3368421052631578;0.5512952773912101;1.5;1.5;2
3;assignment_vis>assignment_try>assignment_vis;440;690567;504712.3568181818;4844;440;440;1.353409090909091;0.552061546129083;1.5;1.5;2
3;assignment_vis>assignment_try>assignment_sub;789;690675;461292.79340937897;12590;789;789;1.373891001267427;0.5561175178754537;1.5;1.5;2
3;assignment_vis>assignment_try>resource_vis;413;690524;470074.94430992735;3742;413;413;1.3934624697336562;0.5504022109830689;1.5;1.5;2
3;assignment_vis>assignment_try>forum_vis;185;690567;493452.94054054056;370;185;185;1.337837837837838;0.5645079385544121;1.5;1.5;2
3;assignment_vis>assignment_sub>assignment_vis;573;690680;538662.6614310646;9422;573;573;1.369109947643979;0.5422422465783148;1.5;1.5;2
3;assignment_vis>assignment_sub>assignment_sub;615;690680;528831.9626016261;7467;615;615;1.367479674796748;0.533028947726013;1.5;1.5;2
3;assignment_vis>assignment_sub>assignment_try;252;690388;561549.3293650794;1306;252;252;1.3968253968253967;0.5120751482351794;1.5;1.5;2
3;assignment_vis>assignment_sub>resource_vis;328;690680;567416.1463414634;2576;328;328;1.4192073170731707;0.5161282404189075;1.5;1.5;2
3;assignment_vis>assignment_sub>forum_vis;219;690561;566172.5296803653;844;219;219;1.3470319634703196;0.5569641283404647;1.5;2.0;2
3;assignment_vis>resource_vis>assignment_try;396;690399;496217.64898989897;3766;396;396;1.3926767676767677;0.5458445149462138;1.5;1.5;2
3;assignment_vis>resource_vis>resource_vis;680;690823;473086.8558823529;21650;680;680;1.3573529411764707;0.5694262871142559;1.5;1.5;2
3;assignment_vis>resource_vis>assignment_sub;1135;690823;443073.3682819383;47531;1135;1135;1.3466960352422908;0.5840510400645585;1.5;1.5;2
3;assignment_vis>resource_vis>assignment_vis;715;690823;486972.4041958042;26428;715;715;1.358041958041958;0.5661324620825162;1.5;1.5;2
3;assignment_vis>resource_vis>forum_vis;414;690590;494185.05555555556;11984;414;414;1.3128019323671498;0.5775085290366354;1.5;1.5;2
3;assignment_vis>forum_vis>forum_vis;568;690764;487046.286971831;62348;568;568;1.3670774647887325;0.5551019554437515;1.5;1.5;2
3;assignment_vis>forum_vis>assignment_sub;734;690764;482118.3133514986;53627;734;734;1.3303814713896458;0.5847452462269429;1.5;1.5;2
3;assignment_vis>forum_vis>assignment_vis;518;690704;517376.3359073359;29770;518;518;1.3368725868725868;0.5648740185639752;1.5;1.5;2
3;assignment_vis>forum_vis>forum_participation;277;690590;494305.31768953067;10824;277;277;1.3465703971119134;0.5491404412287968;1.5;1.5;2
