sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_avg_deviation;grade_median;grade_mode;max_grade
3;assignment_sub>forum_vis>assignment_sub;470;690704;558081.2489361702;4913;470;470;1.3468085106382979;0.5682993984899184;1.5;1.5;2
3;assignment_sub>forum_vis>resource_vis;275;690590;572801.3818181818;1754;275;275;1.3909090909090909;0.5411102156012235;1.5;1.5;2
3;assignment_sub>forum_vis>assignment_try;178;690442;568622.4438202247;356;178;178;1.3370786516853932;0.5811311826137722;1.5;1.5;2
3;assignment_sub>forum_vis>assignment_vis;242;690704;574433.4628099174;1614;242;242;1.3512396694214877;0.556532790857354;1.5;1.5;2
3;assignment_sub>forum_participation>forum_vis;180;690590;558519.2722222222;720;180;180;1.3583333333333334;0.547403724858378;1.5;1.5;2
3;assignment_sub>forum_participation>assignment_sub;196;690590;557443.2806122449;752;196;196;1.3545918367346939;0.5458743508421864;1.5;1.5;2
3;assignment_try>assignment_sub>assignment_sub;413;690669;526875.4140435836;1636;413;413;1.3898305084745763;0.5390959893803727;1.5;1.5;2
3;assignment_try>assignment_sub>resource_vis;223;690560;561759.3318385651;822;223;223;1.4618834080717489;0.4765964588027147;1.5;1.5;2
3;assignment_try>assignment_sub>assignment_try;193;689494;551228.5958549223;386;193;193;1.4093264248704662;0.49824281038482904;1.5;1.5;2
3;assignment_try>assignment_sub>assignment_vis;225;690561;557448.8844444444;826;225;225;1.431111111111111;0.5140100672227629;1.5;1.5;2
3;assignment_try>resource_vis>assignment_sub;600;690567;439266.6066666667;3459;600;600;1.3516666666666666;0.5804240193967769;1.5;1.5;2
3;assignment_try>resource_vis>assignment_vis;201;690561;514757.75124378107;402;201;201;1.3532338308457712;0.5264047777611363;1.5;1.5;2
3;assignment_try>resource_vis>resource_vis;198;690518;521432.99494949495;396;198;198;1.3838383838383839;0.515388980439819;1.5;1.5;2
3;assignment_try>resource_vis>forum_vis;180;690567;513721.3388888889;360;180;180;1.3277777777777777;0.5675641922748264;1.5;1.5;2
3;assignment_try>assignment_vis>resource_vis;329;690524;513073.8085106383;1420;329;329;1.3920972644376899;0.5308169408158787;1.5;1.5;2
3;assignment_try>assignment_vis>assignment_sub;396;690567;507326.3409090909;2151;396;396;1.3825757575757576;0.5355460308958375;1.5;1.5;2
3;assignment_try>assignment_vis>forum_vis;219;690567;521205.7397260274;438;219;219;1.3378995433789955;0.5564279662321936;1.5;1.5;2
3;assignment_try>assignment_vis>assignment_vis;176;690567;528620.6875;352;176;176;1.3522727272727273;0.5614221274538485;1.5;1.5;2
3;assignment_try>forum_vis>assignment_sub;302;690567;491117.9635761589;701;302;302;1.3427152317880795;0.5551898705774508;1.5;1.5;2
3;assignment_try>assignment_try>assignment_sub;262;690567;530951.4847328244;455;262;262;1.3740458015267176;0.539062302963728;1.5;1.5;2
3;assignment_vis>resource_vis>assignment_try;382;690399;493164.94502617803;1540;382;382;1.387434554973822;0.5521603619054094;1.5;1.5;2
